"id","name","laboratory","theraputic_class","pharmaco_class","dci","commercial_name","dci_code","form","dosage","conditioning","type","list","country","marketed","reimbursable","reference_price","ppa_indicative","registration_num","notice_link","img_link"
1,"ABASAGLAR 100UI/ML (3,64MG/ML) SOL. INJ. EN STYLO PREREMPLI KWIKPEN B/05 STYLOS PREREMLIS DE 3 ML","ELI LILLY","METABOLISME NUTRITION DIABETE","INSULINES","INSULINE GLARGINE","ABASAGLAR","14B215","SOL. INJ.","100UI/ML (3,64MG/ML)","B/05 STYLOS PREREMLIS DE 3 ML","Générique","Liste II","AUTRICHE",True,True,"0","","034/14B215/17","https://www.pharmnet-dz.com/notice.ashx?id=5866","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/5866.png"
2,"ABAVIR 300 MG CP PELL B/1 PILULIER DE 60","HETERO LABS LIMITED","PARASITOLOGIE","ANTIVIRAUX","ABACAVIR SULFATE EXPERIME EN ABACAVIR","ABAVIR","13P491","COMP. PELLI.","300 MG","B/1 PILULIER DE 60","Générique","Liste I","INDE",True,True,NULL,"","524/ 13 P 491/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
3,"ABAVIR OS 20 MG/ML SOL BUV B/1 FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML","HETERO LABS LIMITED","PARASITOLOGIE","ANTIVIRAUX","ABACAVIR SULFATE EXPERIME EN ABACAVIR","ABAVIR OS","13P490","SOL. BUV.","20 MG/ML","B/1 FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML","Générique","Liste I","INDE",True,True,NULL,"","524/ 13 P 490/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4,"ABDIFLY 10MG COMPRIME B/28","ABDI IBRAHIM","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABDIFLY","16D103","COMP.","10MG","B/28","Générique","Liste I","ALGERIE",True,True,"5452","","426/16 D 103/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
5,"ABDIFLY 15MG COMPRIME B/28","ABDI IBRAHIM","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABDIFLY","16D104","COMP.","15MG","B/28","Générique","Liste I","ALGERIE",True,True,"5842","","426/16 D 104/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
6,"ABILIFY 10MG COMP. B/28","OTSUKA PHARMACEUTICAL EUROPE LTD","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIFY","16D103","COMP.","10MG","B/28","Princeps","Liste I","ROYAUME UNI",True,True,"5453","","414/ 16 D 103 /08","https://www.pharmnet-dz.com/notice.ashx?id=2288","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2288.png"
7,"ABILIFY 15MG COMP. B/28","OTSUKA PHARMACEUTICAL EUROPE LTD","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIFY","16D104","COMP.","15MG","B/28","Princeps","Liste I","ROYAUME UNI",True,True,"5452","","414/ 16 D 104 /08","https://www.pharmnet-dz.com/notice.ashx?id=2290","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2290.png"
8,"ABILIZOLE 10 MG CP ORODISPERSIBLE B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D171","COMP. ORODISPERS.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"5630","","352/16D171/17","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
9,"ABILIZOLE 10MG COMP. PELLI. B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D103","COMP.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"5842.2","","352/ 16 D 103 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2285.png"
10,"ABILIZOLE 15 MG CP ORODISPERSIBLE B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D171","COMP. ORODISPERS.","15MG","B/30","Générique","Liste I","ALGERIE",True,True,"5630","","352/16D171/17","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
11,"ABILIZOLE 15MG COMP. PELLI. B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D104","COMP.","15MG","B/30","Générique","Liste I","ALGERIE",True,True,"5630","","352/ 16 D 104 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2291.png"
12,"ABILIZOLE 1MG/ML SOL BUV FL/125 ML B/ 01 SER PRE-REMP DE 1.5ML (150MG/1.5ML) ET 02 AIGUILLES","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D173","SOL. BUV.","1MG/ML","B/ 01 SER PRE-REMP DE 1.5ML (150MG/1.5ML) ET 02 AIGUILLES","Générique","Liste I","ALGERIE",True,True,NULL,"","352/16 D173/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
13,"ABILIZOLE 1MG/ML SOL BUV FL/125 ML SER PRE-REMP DE 1ML (100MG/ML) ET 02 AIGUILLES","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D173","SOL. BUV.","1MG/ML","FL/125 ML SER PRE-REMP DE 1ML (100MG/ML) ET 02 AIGUILLES","Générique","Liste I","ALGERIE",True,True,NULL,"","352/16 D173/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
14,"ABILIZOLE 1MG/ML SOL BUV FL/125 ML B/01 SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D173","SOL. BUV.","1MG/ML","FL/125 ML B/01 SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES","Générique","Liste I","ALGERIE",True,True,NULL,"","352/16 D173/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
15,"ABUFENE 400MG COMP. B/30","BOUCHARA-RECORDATI","GYNECOLOGIE","MENOPAUSE (PRODUITS NON HORMONAUX)","BETA - ALANINE","ABUFENE","11F048","COMP.","400MG","B/30","Princeps","Liste I","FRANCE",True,False,"0","","269/ 11 F 048 /98","https://www.pharmnet-dz.com/notice.ashx?id=3034","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3034.png"
16,"ACARLYSE Acarbose 50mg COMP. B/30","Les Laboratoires FRATER-RAZES","METABOLISME NUTRITION DIABETE","ANTIDIABETIQUES ORAUX","ACARBOSE","ACARLYSE","14A136","COMP.","50MG","B/30","Générique","Liste I","ALGERIE",True,True,"410","","289/14A136/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4642.png"
17,"ACEBUTOLOL IVAL 200MG COMP. PELLI. SEC. B/30","PHARMA IVAL","CARDIOLOGIE ET ANGEIOLOGIE","BETA-BLOQUANTS","ACEBUTOLOL CHLORHYDRATE","ACEBUTOLOL IVAL","06F067","COMP. PELLI.","200MG","B/30","Générique","Liste I","ALGERIE",True,True,"314.7","","195/ 06 F 067 /10","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
18,"ACEBUTOLOL IVAL 400MG COMP. PELLI. B/30","PHARMA IVAL","CARDIOLOGIE ET ANGEIOLOGIE","BETA-BLOQUANTS","ACEBUTOLOL CHLORHYDRATE","ACEBUTOLOL IVAL","06F068","COMP. PELLI.","400MG","B/30","Générique","Liste I","ALGERIE",True,True,"582","","235/ 06 F 068 /11","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
19,"ACEBUTOLOL SANDOZ 200MG COMP. ENRO. B/30","SANDOZ","CARDIOLOGIE ET ANGEIOLOGIE","BETA-BLOQUANTS","ACEBUTOLOL CHLORHYDRATE","ACEBUTOLOL SANDOZ","06F067","COMP. PELLI.","200MG","B/30","Générique","Liste I","ALGERIE",True,True,"314","","050/ 06 F 067 /06","https://www.pharmnet-dz.com/notice.ashx?id=3227","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
20,"ACEPRAL 500MG COMP. B/20","SAIDAL GROUPE","ANTALGIQUES","SALICYLES","ACIDE ACETYLSALICYLIQUE","ACEPRAL","02D049","COMP. PELLI. LP","500MG","B/20","Princeps","Liste I","ALGERIE",True,True,"66.8","","003/ 03 A 001 /97","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4112.png"
21,"ACEPRAL L- NOURRISSON 100MG/SACH.-DOSE PDRE. SOL. BUV. B/20","SAIDAL GROUPE","ANTALGIQUES","SALICYLES","ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE","ACEPRAL L- NOURRISSON","03A104","PDRE. SOL. BUV.","100MG/SACH.-DOSE","B/20","Générique","N/D","ALGERIE",True,True,"0","","003/ 03 A 104 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
22,"ACEPRAL-L 1000MG 1G/SACH.-DOSE PDRE. SOL. BUV. B/20 SACHETS","SAIDAL GROUPE","ANTALGIQUES","SALICYLES","ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE","ACEPRAL-L 1000MG","03A069","PDRE. SOL. BUV.","1G/SACH.-DOSE","B/20 SACHETS","Générique","N/D","ALGERIE",True,True,"133.6","","003/ 03 A 069 /09","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
23,"ACEPRAL-L 160MG/SACHET-DOSE (288MG/SACHET ACETYLSALICYLATE DE DL LYSINE) PDRE. SOL. BUV. EN SACHET B/30SACHETS-DOSE","SAIDAL GROUPE","HEMATOLOGIE ET HEMOSTASE","ANTICOAGULANTS ORAUX","ACIDE ACETYLSALICYLIQUE","ACEPRAL-L","12A144","PDRE. SOL. BUV.","160MG/SACHET-DOSE (288MG/SACHET ACETYLSALICYLATE DE DL LYSINE)","B/30SACHETS-DOSE","Générique","N/D","ALGERIE",True,True,"127.2","","003/ 12 A 144 /09","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
24,"ACEPRAL-L ADULTES 500MG/SACH.-DOSE PDRE. SOL. BUV. EN SACH.-DOSE B/20 SACHETS","SAIDAL GROUPE","ANTALGIQUES","SALICYLES","ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE","ACEPRAL-L ADULTES","03A025","PDRE. SOL. BUV.","500MG/SACH.-DOSE","B/20 SACHETS","Générique","N/D","ALGERIE",True,True,"66.8","","003/ 03 A 025 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
25,"ACEPRAL-L ENFANT 250MG/SACH.-DOSE PDRE. SOL. BUV. EN SACH.-DOSE B/20 SACHETS","SAIDAL GROUPE","ANTALGIQUES","SALICYLES","ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE","ACEPRAL-L ENFANT","03A024","PDRE. SOL. BUV.","250MG/SACH.-DOSE","B/20 SACHETS","Générique","N/D","ALGERIE",True,True,NULL,"","003/ 03 A 024 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
26,"ACETADOL 0.03 SOL. BUV. B/1 FL DE 100ML+PIPETTE GRADUEE","N/D","ANTALGIQUES","PARACETAMOL ET DERIVES","PARACETAMOL","ACETADOL","03B061","SOL. BUV.","3%","B/1 FL DE 100ML+PIPETTE GRADUEE","Générique","Liste I","ALGERIE",True,True,"81","","503/03B061/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
27,"ACFUSID 0,02 PDE.DERM. T/15G","NOVAPHARM TRADING","DERMATOLOGIE","ANTI-BACTERIENS LOCAUX","ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM","ACFUSID","07C016","PDE. DERM.","2%","T/15G","Générique","N/D","ALGERIE",True,True,"145","","149/07C016/149","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/5806.png"
28,"ACICLOSINA 3% (OU 30MG/G) PDE.OPHT. T/5G","CIPAN","OPHTALMOLOGIE","ANTIVIRAUX LOCAUX","ACICLOVIR","ACICLOSINA","17F042","PDE. OPHT.","3% (OU 30MG/G)","T/5G","Générique","Liste I","PORTUGAL",True,True,"307.75","","218/ 17 F 042 /99","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
29,"ACICLOVIR GL 200MG COMP. B/30","N/D","INFECTIOLOGIE","ANTIVIRAUX","ACICLOVIR","ACICLOVIR GL","13P097","COMP.","200MG","B/30","Générique","Liste I","ALGERIE",True,True,"0","","065/13P097/15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
30,"ACICLOVIR MYLAN 250MG/FL. DE PDRE. PDRE. SOL. INJ. IV B/05 FL. DE PDRE.","MYLAN","INFECTIOLOGIE","ANTIVIRAUX","ACICLOVIR","ACICLOVIR MYLAN","13P098","PDRE. SOL. INJ.","250MG/FL. DE PDRE.","B/05 FL. DE PDRE.","Générique","Liste I","FRANCE",True,True,"472.59","","450/ 13 P 098 /07/15","https://www.pharmnet-dz.com/notice.ashx?id=420","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/420.png"
31,"ACICLOVIR MYLAN 500MG/FL. DE PDRE. PDRE. SOL. INJ. IV B/05 FL. DE PDRE.","MYLAN","INFECTIOLOGIE","ANTIVIRAUX","ACICLOVIR","ACICLOVIR MYLAN","13P308","PDRE. SOL. INJ.","500MG/FL. DE PDRE.","B/05 FL. DE PDRE.","Générique","Liste I","FRANCE",True,True,"0","","450/ 13 P 308 /06","https://www.pharmnet-dz.com/notice.ashx?id=3523","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3523.png"
32,"ACIDE AMINOCAPROIQUE 2G/10ML SOL INJ IV B/10AMP.","RENAUDIN","HEMATOLOGIE ET HEMOSTASE","ANTIFIBRINOLYTIQUES","ACIDE AMINOCAPROIQUE","ACIDE AMINOCAPROIQUE","12C011","SOL. INJ.","2G/10ML","B/10AMP.","Générique","Liste I","FRANCE",True,True,"0","","002/ 12 C 011 /98","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
33,"ACIDE BIOTIC SOL. POUR HEMODIALYSE BIDON 10L","SAIDAL GROUPE","UROLOGIE ET NEPHROLOGIE","EPURATION EXTRA-RENALE","CONCENTRE ACIDE POUR HEMODIALYSE AU BICARBONATE LIQUIDE","ACIDE BIOTIC","25G020","SOL. DIALYSE","","BIDON 10L","Générique","N/D","ALGERIE",True,False,NULL,"","003/ 25 G 020 /06","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
34,"ACIDE FOLIQUE - API 5MG COMP. B/20","API","HEMATOLOGIE ET HEMOSTASE","ANTI-ANEMIQUES","ACIDE FOLIQUE","ACIDE FOLIQUE - API","12E020","COMP.","5MG","B/20","Générique","N/D","ALGERIE",True,True,"0","","348/ 12 E 020 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1746.png"
35,"ACIDE ZOLEDRONIQUE HIKMA 4MG/FLACON PDRE LYOPHILISEE P/ PERF IV B/01 FL DE PDRE","HIKMA PHARMACEUTICALS","CANCEROLOGIE","N/D","ACIDE ZOLEDRONIQUE","ACIDE ZOLEDRONIQUE HIKMA","05F123","SOL. PERF.","4MG/FLACON","B/01 FL DE PDRE","Générique","Liste I","JORDANIE",True,True,"12140","","001/ 05 F 123 /14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
36,"ACIDERM 0,1G/0,2G/2G/0,1G/0,7G/ 100ML SOL. FL/250 ML","PHARMAGHREB","DERMATOLOGIE","ANTISEPTIQUES","OXYQUINOLEINE/ACIDE SALICYLIQUE/ LAURYLSULFATE DE SODIUM/ACIDE TARTRIQUE","ACIDERM","07P074","SOL.","0,1G/0,2G/2G/0,1G/0,7G/ 100ML","FL/250 ML","Générique","N/D","ALGERIE",True,True,NULL,"","088/ 07 P 074 /99","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
37,"ACIDIAL SOL. POUR HEMODIALYSE BIDON 10L","SAIDAL GROUPE","UROLOGIE ET NEPHROLOGIE","EPURATION EXTRA-RENALE","CONCENTRE ACIDE POUR HEMODIALYSE AU BICARBONATE POUDRE","ACIDIAL","25G056","SOL. DIALYSE","","BIDON 10L","Générique","N/D","ALGERIE",True,False,NULL,"","003/ 25 G 056 /06","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
38,"ACIDRINE 2,50MG/250MG/200MG COMP. A CROQ. B/40","SOLVAY PHARMA","GASTRO-ENTEROLOGIE","ANTI-ACIDES & PROTECTEURS GASTRO-INTESTINAUX","LAURYL SULFATE DE MYRTECAINE / AMINOACETATE D'ALUMINIUM / SULFATE DE GALACTONE","ACIDRINE","10B004","COMP. A CROQ.","2,50MG/250MG/200MG","B/40","Générique","N/D","ALGERIE",True,True,"0","","031/ 10 B 004 /97","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
39,"ACIFIX 175MG/200MG/5ML SUSP. BUV. FLACON FL./200ML","GROUPE SANTE","GASTRO-ENTEROLOGIE","ANTI-ACIDES & PROTECTEURS GASTRO-INTESTINAUX","HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM","ACIFIX","10B105","SUSP. BUV.","175MG/200MG/5ML","FL./200ML","Générique","N/D","ALGERIE",True,True,"134","","242/ 10 B 105 /06","https://www.pharmnet-dz.com/notice.ashx?id=3905","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3905.png"
40,"ACIFUDAL 0.01 GEL OPHT T/3G","SAIDAL GROUPE","OPHTALMOLOGIE","ANTI-INFECTIEUX LOCAUX","ACIDE FUSIDIQUE","ACIFUDAL","17D104","GEL. OPHT.","0.01","T/3G","Générique","Liste I","ALGERIE",True,True,NULL,"","003/ 17 D 104 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
41,"ACIFUDAL 0.02 CREME DERM. T/15G","SAIDAL GROUPE","DERMATOLOGIE","ANTI-BACTERIENS LOCAUX","ACIDE FUSIDIQUE","ACIFUDAL","07C017","CRÈME","0.02","T/15G","Générique","Liste I","ALGERIE",True,True,"166.65","","003/ 07 C 017 /08","https://www.pharmnet-dz.com/notice.ashx?id=1676","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1676.png"
42,"ACIFUDAL 0.02 PDE.DERM. T/15G","SAIDAL GROUPE","DERMATOLOGIE","ANTI-BACTERIENS LOCAUX","ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM","ACIFUDAL","07C016","PDE. DERM.","0.02","T/15G","Générique","Liste I","ALGERIE",True,True,"144.9","","003/ 07 C 016 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
43,"ACLASTA 5MG/100ML SOL INJ P/PERF B/01FL DE 100ML","NOVARTIS","CANCEROLOGIE","AUTRES","ACIDE ZOLEDRONIQUE MONOHYDRATE (EXPRIME EN ACIDE ZOLEDRONIQUE)","ACLASTA","05F165","SOL. INJ.","5MG/100ML","B/01FL DE 100ML","Princeps","Liste I","SUISSE",True,True,"0","","068/ 05 F 165/14","https://www.pharmnet-dz.com/notice.ashx?id=1086","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1086.png"
44,"ACNESTOP 0.01 GEL T/30G","EL K","DERMATOLOGIE","ANTI-ACNEIQUES, ANTI-ALOPECIQUES ET ANTI-SEBORRHEIQUES","CLINDAMYCINE PHOSPHATE EXPRIME EN CLINDAMYCINE","ACNESTOP","07B159","GEL","1.0%","T/30G","Générique","Liste I","ALGERIE",True,True,"0","","352/07B159/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
45,"ACROBAY 50MG COMP. B/30","NEOMEDIC","METABOLISME NUTRITION DIABETE","ANTIDIABETIQUES ORAUX","ACARBOSE","ACROBAY","14A136","COMP.","50MG","B/30","Générique","Liste I","ALGERIE",True,True,"410","","418/14A136/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4560.png"
46,"ACTEMRA 20MG/ML/FLACON CONCENTRE POUR SOLUTION A DILUER POUR PERFUSION IV BOITE DE 1 FLACON DE 20ml( 400 mg/20ml)","ROCHE","RHUMATOLOGIE","AUTRES","TOCILIZUMAB","ACTEMRA","21J068","SOL. A DILUER P. PERF. IV","20MG/ml OU ( 400 mg/20ml)","FLACON DE 20ml ( 80 mg/4ml)","Princeps","Liste I","SUISSE",True,True,"0","","128/21J068/15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/6093.png"
47,"ACTEMRA 20MG/ML/FLACON CONCENTRE POUR SOLUTION A DILUER POUR PERFUSION IV BOITE DE 1 FLACON DE 10ml (200mg/10ml),","ROCHE","RHUMATOLOGIE","AUTRES","TOCILIZUMAB","ACTEMRA","21J068","SOL. A DILUER P. PERF. IV","20MG/ML OU (200mg/10ml)","FLACON DE 10ml (200mg/10ml)","Princeps","Liste I","SUISSE",True,True,"0","","128/21J068/15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/6092.png"
48,"ACTEMRA 20MG/ML/FLACON CONCENTRE POUR SOLUTION A DILUER POUR PERFUSION IV BOITE DE 1 FLACON DE 4 ML ( 80 mg/4ml)","ROCHE","RHUMATOLOGIE","AUTRES","TOCILIZUMAB","ACTEMRA","21J068","SOL. A DILUER P. PERF. IV","20MG/ML/FLACON OU ( 80 mg/4ml)","BOITE DE 1 FLACON DE 4 ML ( 80 mg/4ml)","Princeps","Liste I","SUISSE",True,True,"0","","128/21J068/15","https://www.pharmnet-dz.com/notice.ashx?id=4235","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4235.png"
49,"ACTICAL 0.1 SIROP FL./125ML","SAIDAL GROUPE","METABOLISME NUTRITION DIABETE","ELEMENTS MINERAUX & EQUILIBRE HYDRO-ELECTROLYTIQUE","CALCIUM PIDOLATE","ACTICAL","14G135","SIROP","0.1","FL./125ML","Générique","N/D","ALGERIE",True,True,"137.5","","003/ 14 G 135 /07","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
50,"ACTICAL 135MG/10ML DE CALCIUM** (1G/10ML OU 10% DE PIDOLATE DE CALCIUM) AMP. BUV. B/20AMP. DE 10ML","SAIDAL GROUPE","METABOLISME NUTRITION DIABETE","ELEMENTS MINERAUX & EQUILIBRE HYDRO-ELECTROLYTIQUE","CALCIUM PIDOLATE EXPRIME EN CALCIUM ELEMENT","ACTICAL","14G328","AMP. BUV.","135MG/10ML DE CALCIUM** (1G/10ML OU 10% DE PIDOLATE DE CALCIUM)","B/20AMP. DE 10ML","Générique","N/D","ALGERIE",True,True,"220","","003/ 14 G 328 /09","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
51,"ACTICARBINE 14MG/70MG COMP. ENRO. B/42","PHARMIDAL","GASTRO-ENTEROLOGIE","ANTI-ACIDES & PROTECTEURS GASTRO-INTESTINAUX","PAPAVERINE CHLORHYDRATE/CHARBON ACTIVE","ACTICARBINE","10B143","COMP. PELLI.","14MG/70MG","B/42","Générique","N/D","ALGERIE",True,False,NULL,"","318/ 10 B 143 /05","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
52,"ACTILYSE 20MG PDRE ET SOLVT. SOL. INJ. B/1+1","BOEHRINGER INGELHEIM","HEMATOLOGIE ET HEMOSTASE","THROMBOLYTIQUES","ALTEPLASE","ACTILYSE","12F115","PDRE. SOL. INJ.","20MG","B/1+1","Princeps","Liste I","FRANCE",True,False,"0","","152/ 12 F 115 /05","https://www.pharmnet-dz.com/notice.ashx?id=1815","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
53,"ACTILYSE 50MG PDRE ET SOLVT. SOL. INJ. B/1+1","BOEHRINGER INGELHEIM","HEMATOLOGIE ET HEMOSTASE","THROMBOLYTIQUES","ALTEPLASE","ACTILYSE","12F116","PDRE. SOL. INJ.","50MG","B/1+1","Princeps","Liste I","FRANCE",True,False,"0","","152/ 12 F 116 /05","https://www.pharmnet-dz.com/notice.ashx?id=1816","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1816.png"
54,"ACTIMAG 15% (0,75G/5ML SOIT 61MG/5ML DE MAGNESIUM ELEMENT) SIROP FL/200ML","LAM (LABORATOIRE ALGERIEN DU MEDICAMENT)","METABOLISME NUTRITION DIABETE","ELEMENTS MINERAUX & EQUILIBRE HYDRO-ELECTROLYTIQUE","MAGNESIUM ELEMENT (SOUS FORME DE MAGNESIUM PIDOLATE)","ACTIMAG","14G162","SOL. BUV.","15% (0,75G/5ML SOIT 61MG/5ML DE MAGNESIUM ELEMENT)","FL/200ML","Générique","N/D","ALGERIE",True,False,"276","","077/ 14 G 162 /98/14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
55,"ACTOCYL 80MG COMP. SEC. B/20","VECOPHARM","HEMATOLOGIE ET HEMOSTASE","ANTICOAGULANTS ORAUX","ACIDE ACETYLSALICYLIQUE","ACTOCYL","12A146","COMP. SEC.","80MG","B/20","Générique","N/D","ALGERIE",True,True,"43","","301/ 12 A 146 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
56,"ACTONEL 5MG COMP PELL B/28","SANOFI AVENTIS","RHUMATOLOGIE","ANTIRHUMATISMAUX DIVERS","ACIDE RISEDRONIQUE SEL MONOSODIQUE","ACTONEL","21D040","COMP. PELLI.","5MG","B/28","Princeps","Liste I","FRANCE",True,True,"1899.8","","230/ 21 D 040 /03","https://www.pharmnet-dz.com/notice.ashx?id=1415","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1415.png"
57,"ACTONEL 35MG COMP PELLI. B/28","SANOFI AVENTIS","RHUMATOLOGIE","ANTIPAGETIQUES","ACIDE RISEDRONIQUE SEL MONOSODIQUE","ACTONEL","21C041","COMP. PELLI.","35MG","B/28","Princeps","Liste I","FRANCE",True,True,NULL,"","230/ 21 C 041 /03","https://www.pharmnet-dz.com/notice.ashx?id=1411","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1411.png"
58,"ACTOS 15MG COMP. B/30","ARAB PHARM","METABOLISME NUTRITION DIABETE","ANTIDIABETIQUES ORAUX","PIOGLITAZONE CHLORHYDRATE EXPRIME EN PIOGLITAZONE","ACTOS","14A309","COMP.","15MG","B/30","Princeps","Liste I","JORDANIE",True,True,"0","","118 / 14 A 309 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3716.png"
