"id","name","laboratory","theraputic_class","pharmaco_class","dci","commercial_name","dci_code","form","dosage","conditioning","type","list","country","marketed","reimbursable","reference_price","ppa_indicative","registration_num","notice_link","img_link"
4205,"SPIRAMYNAL 3000 000UI COMP.PELLI. B/10","SOPHAL (SOCIETE PHARMACEUTIQUE ALGERIENNE)","INFECTIOLOGIE","MACROLIDES & SYNERGISTINES","SPIRAMYCINE","SPIRAMYNAL","13E032","COMP. PELLI.","3000 000UI","B/10","Générique","Liste I","ALGERIE",True,True,"410","","039/ 13 E 032 /04/15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/796.png"
4206,"SPIRIVA 18µG PDRE. P. INHALATION EN GLES. B/30 ET B/30+INHALATEUR (HanDihaler)","BOEHRINGER INGELHEIM","PNEUMOLOGIE","BRONCHODILATATEURS & ANTI-ASTHMATIQUES","TIOTROPIUM BROMURE MONOHYDRATE EXPRIME EN TIOTROPIUM","SPIRIVA","20A234","PDRE. INHAL.","18µG","B/30 ET B/30+INHALATEUR (HanDihaler)","Princeps","Liste I","ALLEMAGNE",True,True,"2700","","152/ 20 A 234 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4207,"SPIRONOLONE 75MG COMP. PELLI. SEC. B/30","BIO-GALENIC","CARDIOLOGIE ET ANGEIOLOGIE","DIURETIQUES","SPIRONOLACTONE MICRONISEE","SPIRONOLONE","06H095","COMP. PELLI.","75MG","B/30","Générique","Liste II","ALGERIE",True,False,"0","","235/ 06 H 095 /09","https://www.pharmnet-dz.com/notice.ashx?id=1482","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1482.png"
4208,"SPIROZIDE 25MG/15MG COMP. PELLI. SEC. B/30","BIO-GALENIC","CARDIOLOGIE ET ANGEIOLOGIE","DIURETIQUES","SPIRONOLACTONE / ALTIZIDE","SPIROZIDE","06H096","COMP. PELLI.","25MG/15MG","B/30","Générique","Liste II","ALGERIE",True,True,"0","","235/ 06 H 096 /13","https://www.pharmnet-dz.com/notice.ashx?id=1484","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1484.png"
4209,"SPRYCEL 20MG COMP. PELLI. B/60","BRISTOL MYERS SQUIBB","CANCEROLOGIE","DIVERS","DASATINIB MONOHYDRATEE","SPRYCEL","05C144","COMP. PELLI.","20MG","B/60","Princeps","Liste I","ROYAUME UNI",True,True,"0","","017/ 05 C 144 /09","https://www.pharmnet-dz.com/notice.ashx?id=1048","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1048.png"
4210,"SPRYCEL 50MG COMP. PELLI. B/60","BRISTOL MYERS SQUIBB","CANCEROLOGIE","DIVERS","DASATINIB MONOHYDRATEE","SPRYCEL","05C145","COMP. PELLI.","50MG","B/60","Princeps","Liste I","ROYAUME UNI",True,True,"0","","017/ 05 C 145 /09","https://www.pharmnet-dz.com/notice.ashx?id=1049","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1049.png"
4211,"SPRYCEL 70MG COMP. PELLI. B/60","BRISTOL MYERS SQUIBB","CANCEROLOGIE","DIVERS","DASATINIB MONOHYDRATEE","SPRYCEL","05C146","COMP. PELLI.","70MG","B/60","Princeps","Liste I","ROYAUME UNI",True,True,"0","","017/ 05 C 146 /09","https://www.pharmnet-dz.com/notice.ashx?id=1050","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1050.png"
4212,"SRILANE 0.05 CREME T/60G","MERCK LIPHA SANTE","RHUMATOLOGIE","ANALGESIQUES ANTIRHUMATISMAUX EXTERNES BAUMES REVULSIFS","IDROCILAMIDE","SRILANE","21A036","CRÈME","0.05","T/60G","Princeps","N/D","FRANCE",True,True,"0","","062/ 21 A 036 /01","https://www.pharmnet-dz.com/notice.ashx?id=1391","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1391.png"
4213,"STAGID 700MG COMP .SEC. B/30","MERCK LIPHA SANTE","METABOLISME NUTRITION DIABETE","ANTIDIABETIQUES ORAUX","METFORMINE EMBONATE","STAGID","14A008","COMP. SEC.","700MG","B/30","Princeps","Liste I","FRANCE",True,True,"62","","062/ 14 A 008 /99/09","https://www.pharmnet-dz.com/notice.ashx?id=3635","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3635.png"
4214,"STALORAL 10+100+300 IR/ML - 300 IR/ML SOLUTION SUBLINGUALE D'UN MELANGE D'EXTRAITS ALLERGENIQUE POUR IMMUNOTHERAPIE SPECIFIQUE COFFRET DE 03 FL. DE 10ML DE SOLUTION (10+100+300 IR/ML) - COFFRET DE 01 FL. DE 10ML DE SOLUTION (300 IR/ML)","STALLERGENES S.A.","ALLERGOLOGIE","ALLERGENES A USAGE THERAPEUTIQUE","EXTRAITS ALLERGENIQUES DERMARTOPHAGOIDES PTERONYSSINUS / DERMATOPHAGOIDES FARINEA (50/50)","STALORAL","01D052","SOL.","10+100+300 IR/ML - 300 IR/ML","COFFRET DE 03 FL. DE 10ML DE SOLUTION (10+100+300 IR/ML) - COFFRET DE 01 FL. DE 10ML DE SOLUTION (300 IR/ML)","Princeps","N/D","FRANCE",True,False,NULL,"","130/ 01 D 052 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4215,"STEDIRIL 0,50MG/0,05MG COMP. B/21","WYETH LEDERLE","GYNECOLOGIE","CONTRACEPTIFS HORMONAUX","DL-NORGESTREL / ETHINYLESTRADIOL","STEDIRIL","11H032","COMP.","0,50MG/0,05MG","B/21","Princeps","Liste I","FRANCE",True,True,"120.06","","030/ 11 H 032 /98","https://www.pharmnet-dz.com/notice.ashx?id=3042","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3042.png"
4216,"STERDEX 0,267MG/1,335MG/RECIPIENT UNIDOSE PDE .OPHT.EN RECIPIENT UNIDOSE B/12 RECIPIENTS UNIDOSE","THEA","OPHTALMOLOGIE","ANTI-INFECTIEUX LOCAUX","DEXAMETHASONE/OXYTETRACYCLINE","STERDEX","17D117","PDE. OPHT.","0,267MG/1,335MG/RECIPIENT UNIDOSE","B/12 RECIPIENTS UNIDOSE","Princeps","Liste I","FRANCE",True,True,"254","","022/ 17 D 117 /00/13","https://www.pharmnet-dz.com/notice.ashx?id=1948","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1948.png"
4217,"STIEVAMYCIN 0,025 %/4% GEL.DERM. T/25G","STIEFEL CANADA INC","DERMATOLOGIE","ANTI-ACNEIQUES, ANTI-ALOPECIQUES ET ANTI-SEBORRHEIQUES","ACIDE TRETINOIQUE / ERYTHROMYCINE","STIEVAMYCIN","07B009","GEL. DERM.","0,025 %/4%","T/25G","Princeps","Liste I","CANADA",True,True,"0","","125/ 07 B 009 /98","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4218,"STILNOX 10MG COMP. PELLI. SEC. B/14","SANOFI AVENTIS","PSYCHIATRIE","HYPNOTIQUES","ZOLPIDEM","STILNOX","16C095","COMP. PELLI.","10MG","B/14","Princeps","Liste I","FRANCE",True,True,"0","","255/ 16 C 095 /06","https://www.pharmnet-dz.com/notice.ashx?id=2191","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2191.png"
4219,"STIMOL 1G/10ML SOL. BUV. B/18AMP.","BIOCODEX","METABOLISME NUTRITION DIABETE","VITAMINES","MALATE DE CITRILLUNE","STIMOL","14H221","SOL. BUV.","1G/10ML","B/18AMP.","Princeps","N/D","FRANCE",True,True,"0","","101/ 14 H 221 /06","https://www.pharmnet-dz.com/notice.ashx?id=3457","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3457.png"
4220,"STIVARGRA 40MG COMP. PELLI. B/1 FLACON DE 28 B/3 FLACONS DE 28","BAYER","CANCEROLOGIE","DIVERS","REGORAFENIB","STIVARGRA","05C179","COMP. PELLI.","40MG","B/1 FLACON DE 28 B/3 FLACONS DE 28","Princeps","Liste I","ALLEMAGNE",True,True,"0","","424/05C179/15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4290.png"
4221,"STOCALM 250,4MG/250,4MG/20MG/9,6MG SOL.DERM. ET BAIN DE BOUCHE FL/250ML","SAIDAL GROUPE","STOMATOLOGIE","PRODUIT LOCAL GINGIVO-DENTAIRE & BUCCO-PHARYNGE","LEVOMENTHOL/VERATOL/RESORCINOL/ACIDE SALYCYLIQUE","STOCALM","23B008","SOL. DERM.","250,4MG/250,4MG/20MG/9,6MG","FL/250ML","Générique","N/D","ALGERIE",True,False,NULL,"","003/ 23 B 008 /04","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4222,"STOCRIN 200MG COMP. PELL. B/1FL./90","MERCK SCHARP & DOHME LTD","INFECTIOLOGIE","ANTIVIRAUX","EFAVIRENZ","STOCRIN","13P286","COMP. PELLI.","200MG","B/1FL./90","Princeps","Liste I","ROYAUME UNI",True,True,"0","","024/ 13 P 286 /06","https://www.pharmnet-dz.com/notice.ashx?id=444","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/444.png"
4223,"STOCRIN 600MG COMP. PELL. B/1FL./30","MERCK SCHARP & DOHME LTD","INFECTIOLOGIE","ANTIVIRAUX","EFAVIRENZ","STOCRIN","13P287","COMP. PELLI.","600MG","B/1FL./30","Princeps","Liste I","ROYAUME UNI",True,True,"0","","024/ 13 P 287 /06","https://www.pharmnet-dz.com/notice.ashx?id=446","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/446.png"
4224,"STRATTERA 10MG** (ATOMOXETINE HYDROCHLORIDE 11,43MG) GLES. GASTRO-RESIST. B/28","LILLY S.A","PSYCHIATRIE","NEUROLEPTIQUES","ATOMOXETINE CHLORHYDRATE EXPRIME EN ATOMOXETINE","STRATTERA","16D110","GLES. GASTRO-RESIST.","10MG** (ATOMOXETINE HYDROCHLORIDE 11,43MG)","B/28","Princeps","N/D","ESPAGNE",True,True,"0","","034/ 16 D 110 /08","https://www.pharmnet-dz.com/notice.ashx?id=2292","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2292.png"
4225,"STRATTERA 18MG** (ATOMOXETINE HYDROCHLORIDE 20,57MG) GLES. GASTRO-RESIST. B/28","LILLY S.A","PSYCHIATRIE","NEUROLEPTIQUES","ATOMOXETINE CHLORHYDRATE EXPRIME EN ATOMOXETINE","STRATTERA","16D111","GLES. GASTRO-RESIST.","18MG** (ATOMOXETINE HYDROCHLORIDE 20,57MG)","B/28","Princeps","N/D","ESPAGNE",True,True,"0","","034/ 16 D 111 /08","https://www.pharmnet-dz.com/notice.ashx?id=2293","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2293.png"
4226,"STRATTERA 25MG** (ATOMOXETINE HYDROCHLORIDE 28,57MG) GLES. GASTRO-RESIST. B/28","LILLY S.A","PSYCHIATRIE","NEUROLEPTIQUES","ATOMOXETINE CHLORHYDRATE EXPRIME EN ATOMOXETINE","STRATTERA","16D112","GLES. GASTRO-RESIST.","25MG** (ATOMOXETINE HYDROCHLORIDE 28,57MG)","B/28","Princeps","N/D","ESPAGNE",True,True,"0","","034/ 16 D 112 /08","https://www.pharmnet-dz.com/notice.ashx?id=2294","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2294.png"
4227,"STRATTERA 40MG** (ATOMOXETINE HYDROCHLORIDE 45,71MG) GLES. GASTRO-RESIST. B/28","LILLY S.A","PSYCHIATRIE","NEUROLEPTIQUES","ATOMOXETINE CHLORHYDRATE EXPRIME EN ATOMOXETINE","STRATTERA","16D113","GLES. GASTRO-RESIST.","40MG** (ATOMOXETINE HYDROCHLORIDE 45,71MG)","B/28","Princeps","N/D","ESPAGNE",True,True,"0","","034/ 16 D 113 /08","https://www.pharmnet-dz.com/notice.ashx?id=2295","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2295.png"
4228,"STRATTERA 60MG** (ATOMOXETINE HYDROCHLORIDE 68,56MG) GLES. GASTRO-RESIST. B/28","LILLY S.A","PSYCHIATRIE","NEUROLEPTIQUES","ATOMOXETINE CHLORHYDRATE EXPRIME EN ATOMOXETINE","STRATTERA","16D114","GLES. GASTRO-RESIST.","60MG** (ATOMOXETINE HYDROCHLORIDE 68,56MG)","B/28","Princeps","N/D","ESPAGNE",True,True,"0","","034/ 16 D 114 /08","https://www.pharmnet-dz.com/notice.ashx?id=2296","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2296.png"
4229,"STRESAM 50MG GLES. B/60","BIOCODEX","PSYCHIATRIE","ANXIOLYTIQUES","ETIFOXINE CHLORHYDRATE","STRESAM","16B093","GLES.","50MG","B/60","Princeps","Liste I","FRANCE",True,True,"0","","101/ 16 B 093 /04","https://www.pharmnet-dz.com/notice.ashx?id=2178","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2178.png"
4230,"STRESAM 50MG GLES. B/24","BIOCODEX","PSYCHIATRIE","ANXIOLYTIQUES","ETIFOXINE CHLORHYDRATE","STRESAM","16B093","GLES.","50MG","B/24","Princeps","Liste I","FRANCE",True,True,"0","","101/ 16 B 093 /04","https://www.pharmnet-dz.com/notice.ashx?id=6103","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/6103.png"
4231,"STRUCTUM 500MG GLES. B/60","PIERRE FABRE MEDICAMENT","SULFATE DE CHONDROÏTINE SODIQUE","RHUMATOLOGIE","","STRUCTUM","21H051","GLES.","500MG","B/60","Princeps","N/D","FRANCE",True,False,NULL,"","099/ 21 H 051 /09","https://www.pharmnet-dz.com/notice.ashx?id=1442","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
